cobi,606,16
contador,606,16
coppi,606,16
cornet,606,16
cunego,606,16
defraye,606,16
deloor,606,16
delpotro,606,16
demulder,606,16
demuynck,606,16
dewaele,606,16
diluca,606,16
dotto,606,16
dumoulin,606,16
enrici,606,16
evans,606,16
faber,606,16
fignon,606,16
frantz,606,16
froome,606,16
fuente,606,16
gabica,606,16
galetti,606,16
ganna,606,sp
garin,606,16
garrigou,606,16
garzelli,606,16
gaul,606,16
gimondi,606,16
giovannetti,606,16
girardengo,606,16
gonzalez,606,16
gotti,606,16
guerra,606,16
hampsten,606,16
heras,606,16
herrera,606,16
hesjedal,606,16
hinault,606,16
horner,606,16
indurain,606,16
jalabert,606,16
janssen,606,16
lape,606,16
venskab,606,16
vilas,606,16
breadnel,701,Unknown
doddington,701,8
felton,701,Unknown
goose,701,Unknown
haltwhistle,701,Unknown
mendel,701,Unknown
warkworth,701,Unknown
wooler,701,Unknown
